"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"symbol"
"ENSG00000182902"	631.281350303236	-5.62219128173636	0.408067841879246	1.52253530040148e-54	2.91169650848778e-52	"SLC25A18"
"ENSG00000122194"	27200.7697134081	-8.39065617767634	0.768996730142508	3.15651310228483e-54	5.92277793257893e-52	"PLG"
"ENSG00000100024"	2885.63765150359	-6.74580728349909	0.519750035038347	5.8594719341113e-54	1.08792758512568e-51	"UPB1"
"ENSG00000116678"	2184.24144653482	-4.36209149791197	0.308412003233645	4.24634116496779e-53	7.73400270846133e-51	"LEPR"
"ENSG00000156006"	433.905117579101	-7.58636958595646	0.605268109443348	7.6580684570469e-53	1.38163114313741e-50	"NAT2"
"ENSG00000150656"	563.525621763826	-6.61339823645334	0.522055387555833	2.50886910006012e-52	4.48407595042521e-50	"CNDP1"
"ENSG00000257017"	545751.36374362	-8.87362145742976	0.887395057864708	4.17289937889034e-52	7.38912293721286e-50	"HP"
"ENSG00000139344"	1217.85692639023	-3.52327232139066	0.244811968762576	4.47275814607236e-52	7.84743365004475e-50	"AMDHD1"
"ENSG00000186115"	2114.54710481798	-7.01232783616241	0.541250216821681	5.28389155513077e-52	9.18628564548372e-50	"CYP4F2"
"ENSG00000164089"	810.967582781605	-7.42351420021491	0.59225562280521	5.79828105498678e-52	9.98975917978083e-50	"ETNPPL"
"ENSG00000105398"	9558.28850633562	-8.26338343330118	0.747650099025941	8.63075949176413e-52	1.47370218321873e-49	"SULT2A1"
"ENSG00000079557"	4360.99384737111	-8.51308113636326	0.803296488174901	2.20663011432796e-51	3.67094836181629e-49	"AFM"
"ENSG00000151726"	9059.02337043271	-4.72127592729608	0.34493004700518	2.20748306635052e-51	3.67094836181629e-49	"ACSL1"
"ENSG00000108187"	2740.1249893978	-4.31921784097621	0.311072695708367	3.39074255040744e-51	5.59004832189586e-49	"PBLD"
"ENSG00000125166"	4860.26199197602	-2.72541920094727	0.187757831870304	6.42928106162648e-51	1.04626516205483e-48	"GOT2"
"ENSG00000138315"	1288.44096589559	-6.7307255735505	0.552183762530661	6.45572522079429e-51	1.04626516205483e-48	"OIT3"
"ENSG00000221932"	252.908267926843	-8.2900521497669	0.624539834133861	7.46405364121877e-51	1.19951732634175e-48	"HEPN1"
"ENSG00000100665"	4289.86802677741	-4.88062861906056	0.367791008880059	1.24530005493941e-50	1.98459318755511e-48	"SERPINA4"
"ENSG00000166123"	2159.63774053897	-3.68539562777954	0.262741534031325	1.6968889020286e-50	2.68192589771859e-48	"GPT2"
"ENSG00000138109"	13728.2296574235	-7.06842056700289	0.606356075374078	2.36837702446125e-50	3.71252805047517e-48	"CYP2C9"
"ENSG00000178772"	2715.96292076286	-7.84867449712816	0.696826327856565	3.86287409743554e-50	6.00598408450059e-48	"CPN2"
"ENSG00000244474"	3552.44557907074	-8.08784591048564	0.756042918781079	4.74320600681208e-50	7.31524771566728e-48	"UGT1A4"
"ENSG00000204653"	748.782881979253	-7.21425695230274	0.584196693872126	9.13539914819679e-50	1.39764298648092e-47	"ASPDH"
"ENSG00000164344"	2428.89750398594	-6.13010569569078	0.497819452416214	9.82299021669992e-50	1.49091162622357e-47	"KLKB1"
"ENSG00000123454"	265.888363694567	-6.3101039685686	0.501785415042379	1.06830091948793e-49	1.60867612474701e-47	"DBH"
"ENSG00000139631"	521.013075901353	-2.63407828429666	0.183259249339224	1.36564532498838e-49	2.04035946836545e-47	"CSAD"
"ENSG00000110169"	50633.5830841848	-7.80009198535818	0.766131729877252	1.57230836667515e-49	2.33091668250353e-47	"HPX"
"ENSG00000107864"	321.204674815215	-3.22729575854539	0.228045725542804	1.95055503059595e-49	2.86941649270131e-47	"CPEB3"
"ENSG00000142748"	2660.80586279632	-6.06183251641166	0.496503104619592	1.99043349417369e-49	2.90572901851738e-47	"FCN3"
"ENSG00000138670"	571.799610653852	-2.23629254847683	0.154744139397922	2.60676243828086e-49	3.77664582346085e-47	"RASGEF1B"
"ENSG00000117594"	5302.16366536606	-5.72580743922511	0.449243196331617	2.66292085238722e-49	3.82899987827467e-47	"HSD11B1"
"ENSG00000127241"	2190.0265123952	-4.71848842326783	0.356543054909513	3.42971050684665e-49	4.8947599800698e-47	"MASP1"
"ENSG00000109576"	427.10498890156	-4.37948853797436	0.322823655878197	3.58781835059082e-49	5.08247689901473e-47	"AADAT"
"ENSG00000183549"	2265.97127196012	-5.93468401405024	0.464501489781768	3.6688138158911e-49	5.1589996628751e-47	"ACSM5"
"ENSG00000140263"	6053.96765925277	-3.90178334491753	0.284573755366045	3.89248295631158e-49	5.43356525959874e-47	"SORD"
"ENSG00000175793"	501.388735718611	6.71887087669343	0.517236085607366	5.24888659990092e-49	7.27389183597864e-47	"SFN"
"ENSG00000186642"	312.894998823265	-3.40434946338838	0.243257012107132	1.16906667211708e-48	1.59694507411192e-46	"PDE2A"
"ENSG00000179761"	4480.48167881908	-5.99169120697836	0.483420537467405	1.62681512981982e-48	2.20646897465775e-46	"PIPOX"
"ENSG00000036473"	2227.31425808017	-8.24544663806819	0.798512340447685	1.63862534371058e-48	2.20683599106487e-46	"OTC"
"ENSG00000091583"	86875.648597095	-7.26674506877105	0.650655773899186	1.7362214001444e-48	2.3219229410043e-46	"APOH"
